plantnb,treatment,nbleaves,heightcm,leaflet
1,sun,7,1.6,7
2,sun,7,2.1,7
3,sun,9,1.6,5
4,sun,9,1.5,5
5,sun,11,1.7,7
6,sun,11,1.5,5
7,sun,6,1.3,7
8,sun,9,2,7
9,sun,11,1.3,3
10,sun,11,1.1,7
11,sun,8,2.2,5
12,sun,9,1.1,5
13,sun,9,1.3,7
14,sun,9,1.4,5
15,sun,8,1.5,5
16,sun,11,1.5,7
17,sun,9,1.4,5
18,sun,9,1.2,7
19,sun,10,1.3,5
20,sun,13,1.5,7
21,sun,10,1.4,5
22,sun,10,1.3,7
23,sun,11,1.6,7
24,sun,11,1.9,7
25,sun,9,1.7,7
26,sun,8,1.6,7
27,sun,10,1.5,5
28,sun,11,2,7
29,sun,11,1.5,5
30,sun,11,1.8,7
31,sun,11,1.6,7
32,sun,11,1.5,7
33,sun,10,1.6,7
34,sun,11,2,7
35,sun,11,1.1,5
36,sun,10,1.6,5
37,sun,12,1.4,7
1,shade,8,1.5,5
2,shade,8,2,5
3,shade,7,2.4,5
4,shade,5,2.2,3
5,shade,8,1,5
6,shade,7,2.1,5
7,shade,6,1.9,5
8,shade,7,2.4,5
9,shade,7,2.5,5
10,shade,7,2.5,5
11,shade,7,2.1,5
12,shade,8,2.6,5
13,shade,7,1.2,5
14,shade,5,2.3,3
15,shade,5,2.7,5
16,shade,5,1.8,3
17,shade,6,2.1,5
18,shade,6,2.6,5
19,shade,6,2.6,5
20,shade,5,5,5
21,shade,7,1.5,5
22,shade,6,2.2,5
23,shade,4,2.5,3
24,shade,5,3.3,5
25,shade,6,2,3
26,shade,6,2.2,5
27,shade,6,2,5
28,shade,7,2.4,5
29,shade,6,2.3,5
30,shade,7,2.1,5
31,shade,7,2.3,5
32,shade,6,2.2,5
33,shade,5,2.2,5
34,shade,6,2.6,5
35,shade,6,4.2,5
36,shade,7,2.2,5
